,SS-15-5737 (14-5753),SB-17-1212,SB-17-4207,SB-18-831,SB-18-702,SB-18-1188,S17-64584-1B,SB-19-2801,SS-18-7192 (S8-1249)
IGHA1,1.0642685329914092,2.084221134185791,1.8428446340560916,0.9025569382309916,1.5772460889816284,1.2886571860313414,0.7447954714298247,1.036596482992172,1.4805307841300963
PKM,2.439589147567749,2.4856526470184326,2.556318769454956,2.534418563842773,2.654990177154541,2.55049973487854,2.561731662750244,2.612073278427124,2.505167369842529
RPL8,2.5740639972686767,2.540467519760132,2.462165298461914,2.1599428987503053,2.5873248291015623,2.4087972831726074,2.369594373703003,2.2783230018615725,2.385759115219116
PABPC1,2.4139743709564208,2.528608465194702,2.377973098754883,2.4721107673645024,2.355693874359131,2.332313680648804,2.5139587020874026,2.404858207702637,2.51064208984375
SFTPB,1.2645045870542526,2.1576136302947995,1.9110294151306155,2.317147135734558,1.4727121329307558,1.856100826263428,0.6303288086690009,1.3326171731948857,1.5901820278167726
ALDOA,2.5273240184783936,2.513185482025146,2.5409237289428708,2.5263989257812502,2.681589393615723,2.405832862854004,2.633779325485229,2.40041995048523,2.6534605407714844
RPLP0,2.267543773651123,2.43158597946167,2.2613312721252443,1.989712328910828,2.3985957717895507,2.2734617710113527,2.2082887840271,2.11778745174408,2.109088606834412
CTSB,2.2026602840423584,2.327829284667969,2.34883150100708,2.4596656894683835,2.433364295959473,2.360739922523498,2.407723188400269,2.3407859897613528,2.356691980361938
TMSB4X,2.344164752960205,2.336554021835327,2.389251203536987,2.049467792510986,2.2830979442596435,2.4017821025848387,2.208529162406921,2.322905478477478,2.437037210464477
RPL13A,2.2448570442199705,2.4046849250793456,2.361617603302002,1.992521514892578,2.3365200233459475,2.3445497226715086,2.111213154792785,2.238419895172119,2.190173959732056
HSP90AB1,2.4054116535186765,2.505727529525757,2.476735773086548,2.528485221862793,2.612647953033447,2.415872859954834,2.519037961959839,2.438142862319946,2.606352739334106
MYH9,2.412956218719482,2.404276657104492,2.501200160980225,2.6996582889556886,2.4732643508911134,2.514192562103271,2.6191974544525145,2.8126675415039064,2.726539134979248
COL1A2,2.0163038206100468,2.2757012844085693,2.2937797451019284,1.8503575801849368,2.1105167722702025,2.3822553491592404,2.1757138347625733,2.519150762557983,2.2727088356018066
MT-ND5,2.66361385345459,2.329493646621704,2.5920920944213868,3.0137439918518067,2.383498563766479,2.667625141143799,2.718769130706788,3.0479935836791987,2.984313554763794
RPS18,2.433458938598633,2.456120004653931,2.420290966033936,2.016435432434082,2.520608100891113,2.313255758285522,2.2002652502059936,2.2060443496704103,2.168856401443482
RPLP1,2.331242971420288,2.454250974655152,2.4237146663665774,2.0660792922973634,2.358459453582764,2.4120429325103765,2.287445001602173,2.424245710372925,2.343875188827515
RPS6,2.3352720737457275,2.3765596199035643,2.3120710182189943,2.0621053791046142,2.323452434539795,2.3060918712615965,2.0975465536117555,2.174105744361877,2.125377154350281
HLA-A,2.238064823150635,2.067126684188843,2.213279705047607,2.1779249477386475,2.2115992069244386,2.3325418853759765,2.0872650432586672,2.1156321287155158,2.1415340518951416
P4HB,2.3278763198852537,2.3976030063629152,2.4074757862091065,2.37699140548706,2.4412677764892576,2.3209272098541254,2.3134907817840578,2.3644256591796875,2.424830322265625
HLA-C,2.09476571559906,2.06059253692627,2.2347694110870355,1.8504637145996097,2.2308901023864744,2.303573908805847,1.9464255714416503,2.020204329490661,2.0519260501861574
RPL10,2.338349666595459,2.3431212329864506,2.3694678020477293,2.219247074127197,2.3536108493804933,2.348422737121582,2.205865707397461,2.291499662399292,2.3187179756164547
RPL4,2.2063164520263667,2.352923049926757,2.3022689533233645,2.1223569250106813,2.23391152381897,2.244247732162476,2.154217257499695,2.2399943256378174,2.2384541416168213
RPS4X,2.2061030101776127,2.360545835494995,2.289321022033691,2.098451089859009,2.2284638690948486,2.314964504241944,2.0919501781463623,2.197724294662476,2.1845323181152345
HSP90AA1,2.210628356933594,2.3668845558166507,2.2901468372344973,2.263978042602539,2.284901723861694,2.2035753917694096,2.29403094291687,2.232804470062256,2.371779088973999
CALR,2.2635121440887453,2.299243803024292,2.3016418838500976,2.1535951042175294,2.289652872085571,2.178127975463867,2.228561697006225,2.2018041610717773,2.3276241397857667
YWHAZ,2.1402979135513305,2.332997369766235,2.1700007438659665,2.200951099395752,2.260780115127564,2.164562215805053,2.329041624069214,2.130015358924866,2.2821647548675537
RPS3,2.121003761291504,2.3088263797760007,2.1792543125152597,1.7336557292938235,2.2194989395141604,2.113963932991028,1.9529095602035524,2.0331157541275022,1.909537281990052
GNAS,2.558478479385376,2.389970808029175,2.3750779914855955,2.6702421474456783,2.285944623947144,2.283657426834106,2.4447024345397947,2.4922477149963376,2.5446994495391846
